quartier,valid_anchors,invalid_anchors,claimable_verts,corrected_road_length_m
Missèbô,12,1,35,6799.6
Misséssin,3,0,59,6037.5
Misséssinto,2,0,1,31.7
Mènontin,14,0,95,11206.9
Nouveau-Pont,0,7,0,0.0
Ohé,0,5,0,0.0
Ounvènoumèdé,0,1,0,0.0
Ouèdo,11,7,51,2900.3
Ouéga-Agué,0,2,0,0.0
Ouéga-Tokpa,0,1,0,0.0
Plateau,0,56,0,0.0
Saint-Jean-Gbèdiga,5,31,49,7751.0
Sodjatinmè-Centre,1,0,2,127.4
Sodjatinmè-Est,1,0,3,1251.4
Sodo,0,12,0,0.0
Sokan,0,2,0,0.0
Somè,0,4,0,0.0
Suru-Léré,8,1,31,6658.5
Sèdami,1,5,11,1858.1
Sèdjro-Saint-Michel,10,26,116,8323.0
Sèdomey,1,0,0,0.0
Sègbèya-Nord,1,0,0,0.0
Sègbèya-Sud,12,1,58,9514.5
Sèmè,0,10,0,0.0
Sènadé,5,0,48,9551.5
Sètôvi,1,0,12,786.2
Tankpè-Tanmè,5,1,81,2585.9
Tankpè-Togoudo,4,9,147,9350.2
Tankpê-Yoho,1,0,56,4272.2
Tanto,1,5,2,641.7
Tchanhounkpamè,1,0,4,300.1
Togba_Maria-Gléta,0,2,0,0.0
Togbin-Daho,3,4,69,3023.5
Togbin-Fandji,0,1,0,0.0
Togbin-Kpèvi,2,1,41,2389.1
Tokan,5,1,72,6866.1
Tokpa,0,5,0,0.0
Tokpa-Hoho,2,4,11,504.9
Tokpa-Zoungo-Sud,0,1,0,0.0
Tokplégbé,6,0,77,6513.0
Tonato,0,1,0,0.0
Vodjè-Allobatin,1,0,4,1391.0
Vodjè-Ayidoté,1,0,4,1174.4
Vodjè-Centre,8,3,90,10547.4
Vodjè-Finagnon,4,1,56,3992.5
Vodjè-Kpota,1,0,0,0.0
Vossa,1,4,2,272.8
Vossa-Kpodji,6,0,55,4955.0
Védokô,8,7,151,6565.5
Wawata,1,1,42,910.0
Womey-Centre,0,8,0,0.0
Womey-Yénawa,4,1,157,8968.9
Xwlacôdji-Kpodji,1,0,32,1534.0
Xwlacôdji-Plage,1,21,17,2540.4
Yagbé,4,2,22,2572.2
Yèkon-Do,1,0,23,1101.1
Yèvié,0,1,0,0.0
Yénandjro,0,1,0,0.0
Yénawa,6,2,48,3513.2
Yénawa-Fifadji,0,2,0,0.0
Yévèdo,1,1,5,1282.2
Zinvié-Agolèdji,1,16,0,0.0
Zinvié-Fandji,2,0,61,2938.4
Zinvié-Zounmè,1,0,0,0.0
Zogbadjè,5,6,16,672.9
Zogbo,19,1,131,10422.7
Zogbohouè,6,1,0,0.0
Zongo-Ehuzu,6,11,108,11461.3
Zongo-Nima,3,18,25,2792.7
Zopah-Akassato,3,0,94,9664.1
Zopah-Kokpo,5,1,109,16397.4
Zoundja,0,14,0,0.0
Zounga,0,1,0,0.0
Zoungo,2,1,0,0.0
