chef_index,name,arrondissement,commune,lat,lng,support_count,contradiction_count,external_support_count,weighted_support,weighted_contradiction,weighted_external_support,total_evidence,confidence_score,over_expansion_score,under_claim_score,boundary_shift_score
37,Vodjè-Finagnon,11ème Arrondissement,COTONOU,6.372012092065715,2.400699227180686,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
38,Lom-Nava,2ème Arrondissement,COTONOU,6.377121928357666,2.45358716325789,0,2,0,0.0,1.2,0.0,2,0.487,0.545,0.0,0.0
39,Espace-Saint,Golo-Djigbé,ABOMEY-CALAVI,6.564084706418892,2.30449474291105,0,0,7,0.0,0.0,4.2,7,0.903,0.0,0.808,0.0
40,"Maria-Gléta
",Godomey,ABOMEY-CALAVI,6.422174415569062,2.307409725754017,1,0,0,1.0,0.0,0.0,1,0.283,0.0,0.0,0.0
41,Védokô,10ème Arrondissement,COTONOU,6.379254118857429,2.385935060407983,0,1,5,0.0,0.85,4.25,6,0.865,0.459,0.81,0.61
42,Kpondéhou-Tchèmè,2ème Arrondissement,COTONOU,6.382341885996753,2.453444712603947,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
43,"Alédjo
",Abomey-Calavi,ABOMEY-CALAVI,6.443043601716527,2.334256920885097,0,0,1,0.0,0.0,0.85,1,0.283,0.0,0.459,0.0
44,Ahowégodo,Kpanroun,ABOMEY-CALAVI,6.701198048777196,2.352761068854433,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
45,Agounvocôdji,10ème Arrondissement,COTONOU,6.387897930129924,2.385571301988101,0,1,0,0.0,0.85,0.0,1,0.283,0.459,0.0,0.0
46,Somè,Togba,ABOMEY-CALAVI,6.453545179815483,2.29897343498701,0,1,0,0.0,0.6,0.0,1,0.283,0.375,0.0,0.0
47,"Agonkanmey
",Godomey,ABOMEY-CALAVI,6.409045598543866,2.337728614672263,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
48,"Dèkoungbé-Église
",Godomey,ABOMEY-CALAVI,6.371781707862775,2.318474147338697,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
49,"Finafa
",Godomey,ABOMEY-CALAVI,6.393345742509593,2.353576539742456,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
50,Minontchou,2ème Arrondissement,COTONOU,6.392860824205965,2.45024638006181,2,0,0,1.7,0.0,0.0,2,0.487,0.0,0.0,0.0
51,Zèkanmey-Domè,Akassato,ABOMEY-CALAVI,6.531631623780778,2.341055266796695,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
52,Tokpa-Hoho,5ème Arrondissement,COTONOU,6.358973822984335,2.439451918940784,0,1,0,0.0,0.6,0.0,1,0.283,0.375,0.0,0.0
53,Sèdami,7ème Arrondissement,COTONOU,6.370194430138387,2.424121282890475,0,1,1,0.0,0.6,0.85,2,0.487,0.375,0.459,0.415
54,Gbèdjromèdè,6ème Arrondissement,COTONOU,6.379552595585931,2.420030117529112,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
55,Cococodji,Godomey,ABOMEY-CALAVI,6.388040794330395,2.272137151986549,4,0,0,3.4,0.0,0.0,4,0.736,0.0,0.0,0.0
56,Sodjatinmè-Ouest,4ème Arrondissement,COTONOU,6.368479246943725,2.449510486502952,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
57,Agla-Figaro,13ème Arrondissement,COTONOU,6.37838417069406,2.35324370104309,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
58,"Tokpa
",Godomey,ABOMEY-CALAVI,6.388911807581605,2.306642391722998,0,2,0,0.0,1.7,0.0,2,0.487,0.63,0.0,0.0
59,Yèkon-Do,Golo-Djigbé,ABOMEY-CALAVI,6.562676885348218,2.316384589632573,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
60,Houèkè-Honou,Akassato,ABOMEY-CALAVI,6.499733027376658,2.354827650456111,0,0,1,0.0,0.0,0.6,1,0.283,0.0,0.375,0.0
61,Fignon-Sikê,7ème Arrondissement,COTONOU,6.374118417391376,2.41979954101738,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
62,Vodjè-Centre,11ème Arrondissement,COTONOU,6.368643731632697,2.403150887186906,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
63,Xwlacôdji-Kpodji,5ème Arrondissement,COTONOU,6.353551437010183,2.437618371294602,0,1,0,0.0,0.6,0.0,1,0.283,0.375,0.0,0.0
64,Gbodjètin,12ème Arrondissement,COTONOU,6.3747576477173,2.350493145732543,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
65,Houénoussou-Sainte-Rita,8ème Arrondissement,COTONOU,6.378984272384219,2.403643470878895,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
66,Missèkplé,10ème Arrondissement,COTONOU,6.386201155083969,2.404705381238561,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
67,Sètôvi,10ème Arrondissement,COTONOU,6.381389218388034,2.388390601734404,1,2,1,0.85,1.7,0.85,4,0.736,0.479,0.315,0.388
68,Kpondéhou,2ème Arrondissement,COTONOU,6.385806338456955,2.4534998987347,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
69,Sokan,Zinvié,ABOMEY-CALAVI,6.60229913343201,2.351710338340989,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
70,"Aïtchédji
",Abomey-Calavi,ABOMEY-CALAVI,6.45306360958733,2.337775794507753,3,2,0,2.55,1.2,0.0,5,0.811,0.253,0.0,0.0
71,Cadjèhoun-Détinsa,12ème Arrondissement,COTONOU,6.367156849466723,2.404373144644898,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
72,Ahouansouri-Agué,6ème Arrondissement,COTONOU,6.388161451469938,2.421156834029744,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
73,"Gbodjè-Womey
",Godomey,ABOMEY-CALAVI,6.386948849137686,2.284048094633298,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
74,Houèto,Togba,ABOMEY-CALAVI,6.440538017159928,2.303694635891587,5,3,2,4.25,1.8,1.7,10,0.964,0.255,0.245,0.25
75,"Finafa
",Abomey-Calavi,ABOMEY-CALAVI,6.441620302625488,2.347094978684952,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
76,Vossa-Kpodji,9ème Arrondissement,COTONOU,6.395427321419099,2.405402807299402,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
77,Alègléta,Godomey,ABOMEY-CALAVI,6.417671144766262,2.31966769668296,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
78,Yèmicodji,12ème Arrondissement,COTONOU,6.360712320315931,2.33332276107443,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
79,Dangbodji,Zinvié,ABOMEY-CALAVI,6.617268020769844,2.319582192026844,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
80,Vodjè-Ayidoté,11ème Arrondissement,COTONOU,6.373929769245663,2.403176633681567,0,2,0,0.0,1.45,0.0,2,0.487,0.592,0.0,0.0
81,Godomey-Togoudo,Godomey,ABOMEY-CALAVI,6.40142914196411,2.341326632989754,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
82,Yèvié,Zinvié,ABOMEY-CALAVI,6.597263930832368,2.374924648937617,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
83,Wawata,Zinvié,ABOMEY-CALAVI,6.625339951251696,2.322947200894462,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
84,Agonmé,Akassato,ABOMEY-CALAVI,6.550911032367873,2.338355982417123,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
85,Kolètin,Akassato,ABOMEY-CALAVI,6.570910870980369,2.353408399411088,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
86,Togbin-Daho,Godomey,ABOMEY-CALAVI,6.354858279230302,2.307201053743135,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
87,Kpotomey,Zinvié,ABOMEY-CALAVI,6.629978893084875,2.356630093681976,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
88,"Tokpa-Zoungo-Nord
",Abomey-Calavi,ABOMEY-CALAVI,6.433521691269632,2.351275839343485,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
89,Sodjatinmè-Centre,4ème Arrondissement,COTONOU,6.368392216098378,2.454466471829938,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
