quartier_A,quartier_B,corridor_edges,total_length_m,A_share_m,B_share_m
Ahouassa,Kpondéhou,4,350.5,175.3,175.3
Jéricho-Nord,Jéricho-Sud,3,348.0,174.0,174.0
Saint-Jean-Gbèdiga,Yévèdo,1,338.0,169.0,169.0
Aïbatin-Dodo,Gbèdégbé,4,337.0,168.5,168.5
Agontinkon,Vodjè-Finagnon,4,336.6,168.3,168.3
Vodjè-Allobatin,Vodjè-Centre,1,335.7,167.8,167.8
Houéyihô,Houéyihô-Tannou,4,335.0,167.5,167.5
Sèdami,Yévèdo,2,328.6,164.3,164.3
Gbéto,Mifongou,3,323.6,161.8,161.8
Agla-Centre,Agla-Les-Pylônes,4,318.1,159.0,159.0
Tankpè-Tanmè,Tankpê-Yoho,5,317.4,158.7,158.7
Sènadé,Sènadé-Sèkon,3,313.4,156.7,156.7
Gbégamey-Gbagoudo,Vodjè-Ayidoté,3,307.8,153.9,153.9
Hlacômey,Sègbèya-Nord,1,304.4,152.2,152.2
Aïbatin-Dodo,Fidjrossè-Centre,4,301.9,151.0,151.0
Sègbèya-Nord,Sègbèya-Sud,2,287.9,143.9,143.9
Adjégounlè,Ayélawadjè,1,280.6,140.3,140.3
Akassato,Houèkè-Gbo,6,280.4,140.2,140.2
Ayélawadjè-Agongbomè,Kpondéhou,2,279.2,139.6,139.6
Abokicodji-Centre,Sodjatinmè-Ouest,1,264.2,132.1,132.1
Cadjèhoun-Détinsa,Gbégamey-Dodo-Ayidjè,3,258.6,129.3,129.3
Cadjèhoun-Agonga,Haie-Vive-Cocotiers,3,256.3,128.2,128.2
Gbégamey-Gbagoudo,Saint-Jean-Gbèdiga,2,253.3,126.6,126.6
Gankpodo,Minontchou,2,251.5,125.7,125.7
Agori,"Aïtchédji
",3,250.0,125.0,125.0
Irédé,Lom-Nava,1,247.5,123.8,123.8
Kowégbo,Suru-Léré,2,246.4,123.2,123.2
Ahossougbéta,Tokan,2,245.5,122.8,122.8
"Nonhouénou
","Sèdjannako
",1,240.9,120.4,120.4
Fifadji,Vossa-Kpodji,1,240.2,120.1,120.1
Vossa,Vossa-Kpodji,2,229.1,114.6,114.6
Akpakpa-Dodomè,Énagnon,3,228.5,114.3,114.3
Agassa-Godomey,Gbétagbo,5,221.5,110.8,110.8
Agbondjèdo,Gbégamey-Gbagoudo,3,221.1,110.5,110.5
Agla-Petit-Château,Kouhounou,4,218.3,109.2,109.2
