quartier,valid_anchors,invalid_anchors,confirm_eligible,corrected_road_length_m
Houénoussou,1,10,1,576.8
Houénoussou-Sainte-Rita,4,9,0,71.5
Houéyihô,11,0,7,6544.9
Houéyihô-Tannou,0,0,0,1387.7
Hêvié,11,21,2,4354.9
Irédé,5,1,2,669.7
Jéricho-Nord,5,14,3,3127.1
Jéricho-Sud,0,7,0,180.3
Kansounkpa,2,1,2,0.0
Kindonou,7,0,7,325.0
Kolètin,0,0,0,2903.2
Kouhounou,6,1,3,4224.3
Kowégbo,0,1,0,382.0
Kpankpan,2,0,2,3667.7
Kpanroun,5,2,4,0.0
Kpodji-Les-Monts,2,5,1,1972.6
Kpondéhou,12,1,9,4235.9
Kpondéhou-Tchèmè,0,1,0,263.8
Kpossidja,2,1,1,244.6
Kpé,0,5,0,0.0
La-Paix,0,1,0,0.0
Ladji,0,4,0,14.1
Logbozounkpa,0,0,0,1649.5
Lohoussa,0,1,0,242.0
Lom-Nava,3,1,1,785.1
Maria-Gléta,0,12,0,0.0
Midombo,11,1,6,4284.4
Midédji,1,0,1,0.0
Mifongou,0,1,0,644.8
Minonkpô-Wologuèdè,7,1,6,1355.4
Minontchou,4,0,2,999.1
Missité,2,0,1,425.1
Missogbé,0,0,0,1237.3
Missèbô,12,1,11,4215.9
Missèkplé,0,0,0,44.8
Misséssin,3,0,1,1894.8
Misséssinto,2,0,2,399.0
Mènontin,14,0,13,9970.2
"Nonhouénou
",0,0,0,5176.3
Nouveau-Pont,0,7,0,417.2
Nvènamèdé,0,0,0,431.9
Ohé,0,5,0,797.1
Ounvènoumèdé,0,1,0,0.0
"Ounvènoumèdé
",0,0,0,28.2
Ouèdo,11,7,10,889.7
Ouéga-Agué,0,2,0,0.0
Ouéga-Tokpa,0,1,0,0.0
Plateau,0,56,0,0.0
"Plateau
",0,0,0,4399.6
Saint-Jean-Gbèdiga,5,31,3,3752.2
Salamey,0,0,0,1667.3
Sodjatinmè-Centre,1,0,1,0.0
Sodjatinmè-Est,1,0,1,2219.7
Sodjatinmè-Ouest,0,0,0,180.9
Sodo,0,12,0,0.0
"Sodo
",0,0,0,235.5
Sokan,0,2,0,65.9
Somè,0,4,0,64.0
Suru-Léré,8,1,6,2878.1
Sèdami,1,5,1,2387.7
"Sèdjannako
",0,0,0,120.4
Sèdjro-Saint-Michel,10,26,5,2569.4
Sèdomey,1,0,1,224.7
Sègbèya-Nord,1,0,1,1321.1
Sègbèya-Sud,12,1,7,2585.5
Sèhogan-Sikê,0,0,0,327.6
Sèmè,0,10,0,0.0
Sènadé,5,0,3,2204.5
Sènadé-Sèkon,0,0,0,657.5
Sètôvi,1,0,1,726.3
Tankpè-Tanmè,5,1,4,678.2
Tankpè-Togoudo,4,9,0,0.0
Tankpê-Yoho,1,0,0,1473.5
Tanto,1,5,1,1284.6
Tchanhounkpamè,1,0,1,821.4
"Tchinangbégbo
",0,0,0,26.1
Todoté,0,0,0,594.2
Togba_Maria-Gléta,0,2,0,0.0
Togbin-Daho,3,4,1,0.0
Togbin-Fandji,0,1,0,311.4
Togbin-Kpèvi,2,1,1,0.0
Tokan,5,1,2,340.4
Tokpa,0,5,0,0.0
"Tokpa
",0,0,0,1066.6
Tokpa-Hoho,2,4,2,91.9
"Tokpa-Zoungo-Nord
",0,0,0,996.6
Tokpa-Zoungo-Sud,0,1,0,0.0
"Tokpa-Zoungo-Sud
",0,0,0,2308.0
Tokplégbé,6,0,4,1346.1
Tonato,0,1,0,0.0
Vodjè-Allobatin,1,0,1,1325.3
Vodjè-Ayidoté,1,0,1,3614.1
Vodjè-Centre,8,3,5,410.2
Vodjè-Finagnon,4,1,2,4196.1
Vodjè-Kpota,1,0,1,720.1
Vossa,1,4,1,346.4
Vossa-Kpodji,6,0,3,501.7
Védokô,8,7,4,1146.7
Wawata,1,1,1,318.0
Womey-Centre,0,8,0,0.0
Womey-Yénawa,4,1,1,783.8
Xwlacôdji-Kpodji,1,0,1,1758.9
Xwlacôdji-Plage,1,21,0,8.0
Yagbé,4,2,4,4288.2
Yolomahouto,0,0,0,11485.6
Yèkon-Do,1,0,0,0.0
Yèvié,0,1,0,0.0
Yèvié-Nougo,0,0,0,527.7
Yénandjro,0,1,0,0.0
Yénawa,6,2,3,1909.7
Yénawa-Fifadji,0,2,0,509.2
Yévèdo,1,1,0,333.3
Zinvié-Agolèdji,1,16,1,0.0
Zinvié-Fandji,2,0,1,1757.3
Zinvié-Zounmè,1,0,1,834.0
Zogbadjè,5,6,5,1397.3
Zogbo,19,1,16,4989.0
Zogbohouè,6,1,6,288.8
Zongo-Ehuzu,6,11,1,758.2
Zongo-Nima,3,18,3,1824.7
Zopah-Akassato,3,0,0,0.0
Zopah-Kokpo,5,1,1,1398.5
Zoundja,0,14,0,0.0
Zounga,0,1,0,0.0
"Zounga
",0,0,0,1302.2
Zoungo,2,1,2,1646.1
Zèkanmey-Domè,0,0,0,185.3
Énagnon,0,0,0,6078.1
Énagnon-Sikê,0,0,0,424.5
