name,commune,arr,lat,lng,snap_m,snap_node_n_edges,component_size,near_ways,visited_ways,missed_ways,coverage_pct,kdtree_delta_vis,nearby_roundabouts,nearby_oneway_ways,used_dual_connector,classification
Fiyégnon-Houta,COTONOU,12ème Arrondissement,6.35059,2.348834,2.4,6,90099,16,19,0,118.8,2,0,2,False,GOOD
Dandji-Hokanmè,COTONOU,1er Arrondissement,6.36889,2.485058,28.5,11,90099,42,44,6,104.8,8,1,13,False,PARTIAL
Kowégbo,COTONOU,2ème Arrondissement,6.382226,2.465828,5.4,6,90099,37,28,9,75.7,-3,0,6,False,PARTIAL
"Ningboto
",ABOMEY-CALAVI,Godomey,6.372419,2.332808,9.0,4,90099,45,37,10,82.2,0,0,0,False,PARTIAL
Hlazounto,COTONOU,12ème Arrondissement,6.368748,2.362304,10.0,5,90099,29,23,8,79.3,2,0,2,False,PARTIAL
Yévèdo,COTONOU,7ème Arrondissement,6.366872,2.419987,2.4,4,90099,13,13,1,100.0,0,0,0,False,GOOD
Nouveau-Pont,COTONOU,5ème Arrondissement,6.368611,2.431832,8.6,4,90099,34,26,9,76.5,-4,0,7,True,PARTIAL
Hindé-Sud,COTONOU,6ème Arrondissement,6.374926,2.433785,5.1,4,90099,14,10,5,71.4,-2,0,0,False,PARTIAL
Ouéga-Tokpa,ABOMEY-CALAVI,Togba,6.473549,2.3068,8.7,3,90099,30,26,8,86.7,2,0,0,False,PARTIAL
Tankpè-Togoudo,ABOMEY-CALAVI,Godomey,6.418191,2.311011,9.4,4,90099,42,37,7,88.1,4,0,1,True,PARTIAL
Minonkpô-Wologuèdè,COTONOU,8ème Arrondissement,6.374683,2.413875,5.8,5,90099,19,18,3,94.7,-1,0,2,False,PARTIAL
"Djoukpa-Togoudo
",ABOMEY-CALAVI,Godomey,6.403575,2.337957,12.9,4,90099,44,31,13,70.5,5,0,0,False,PARTIAL
Cadjèhoun-Azalokogon,COTONOU,12ème Arrondissement,6.357934,2.399114,16.0,5,90099,48,44,6,91.7,14,0,11,True,PARTIAL
"Fifonsi
",ABOMEY-CALAVI,Togba,6.440134,2.322904,5.6,4,90099,32,27,7,84.4,2,0,1,False,PARTIAL
"Ounvènoumèdé
",ABOMEY-CALAVI,Godomey,6.387345,2.3337,12.1,5,90099,47,34,13,72.3,2,0,0,False,PARTIAL
Zoungo,ABOMEY-CALAVI,Hêvié,6.456355,2.249779,7.3,5,90099,23,22,4,95.7,5,0,7,True,PARTIAL
Tankpê-Yoho,ABOMEY-CALAVI,Abomey-Calavi,6.432376,2.310386,18.0,2,90099,46,15,31,32.6,2,0,0,False,BROKEN
Akpakpa-Dodomè,COTONOU,4ème Arrondissement,6.361032,2.444689,10.4,3,90099,37,31,16,83.8,27,0,5,True,PARTIAL
Akossavié,ABOMEY-CALAVI,Hêvié,6.405935,2.25134,19.4,3,90099,45,29,16,64.4,9,0,0,False,PARTIAL
Cadjèhoun-Kpota,COTONOU,12ème Arrondissement,6.364088,2.400424,6.8,4,90099,17,17,4,100.0,2,0,2,False,PARTIAL
Yagbé,COTONOU,1er Arrondissement,6.372773,2.468414,10.4,3,90099,41,38,8,92.7,13,0,4,True,PARTIAL
