name,commune,arrondissement,code_geo,ign_lat,ign_lng,name_too_short,n_matches,n_clusters,cluster_lat,cluster_lng,distance_m,dispersion_m,confidence,severity,primary_cluster_size,sample_poi_names
"Alédjo
",ABOMEY-CALAVI,Abomey-Calavi,X426382Y712227,6.443044,2.334257,False,0,0,,,,,none,no_data,0,
Ahowégodo,ABOMEY-CALAVI,Kpanroun,X428465Y740764,6.701198,2.352761,False,0,0,,,,,none,no_data,0,
Agounvocôdji,COTONOU,10ème Arrondissement,X432049Y706124,6.387898,2.385571,False,0,0,,,,,none,no_data,0,
Somè,ABOMEY-CALAVI,Togba,X422482Y713394,6.453545,2.298973,False,0,0,,,,,none,no_data,0,
"Agonkanmey
",ABOMEY-CALAVI,Godomey,X426761Y708468,6.409046,2.337729,False,0,0,,,,,none,no_data,0,
"Dèkoungbé-Église
",ABOMEY-CALAVI,Godomey,X424626Y704352,6.371782,2.318474,False,0,0,,,,,none,no_data,0,
"Finafa
",ABOMEY-CALAVI,Godomey,X428512Y706731,6.393346,2.353577,False,0,0,,,,,none,no_data,0,
Minontchou,COTONOU,2ème Arrondissement,X439203Y706665,6.392861,2.450246,False,2,1,6.392543,2.450689,60.0,35.0,medium,normal,2,Paroisse Saint Augustin Minontchou | Paroisse Saint Augustin Minontchou
Zèkanmey-Domè,ABOMEY-CALAVI,Akassato,X427147Y722020,6.531632,2.341055,False,0,0,,,,,none,no_data,0,
Tokpa-Hoho,COTONOU,5ème Arrondissement,X438005Y702920,6.358974,2.439452,False,0,0,,,,,none,no_data,0,
Sèdami,COTONOU,7ème Arrondissement,X436311Y704162,6.370194,2.424121,False,0,0,,,,,none,no_data,0,
Gbèdjromèdè,COTONOU,6ème Arrondissement,X435859Y705197,6.379553,2.42003,False,1,1,6.383323,2.423918,600.0,0.0,low,suspicious,1,MCA GBEDJROMEDE
Cococodji,ABOMEY-CALAVI,Godomey,X419504Y706156,6.388041,2.272137,False,4,4,6.389771,2.273194,225.0,0.0,low,minor,1,Paroisse Saint Gabriel de Cococodji
Sodjatinmè-Ouest,COTONOU,4ème Arrondissement,X439118Y703969,6.368479,2.44951,False,0,0,,,,,none,no_data,0,
Agla-Figaro,COTONOU,13ème Arrondissement,X428473Y705077,6.378384,2.353244,False,0,0,,,,,none,no_data,0,
"Tokpa
",ABOMEY-CALAVI,Godomey,X423320Y706247,6.388912,2.306642,False,1,1,6.391203,2.2944,1377.0,0.0,low,severe,1,Prix Tokpa
Yèkon-Do,ABOMEY-CALAVI,Golo-Djigbé,X424424Y725456,6.562677,2.316385,False,0,0,,,,,none,no_data,0,
Houèkè-Honou,ABOMEY-CALAVI,Akassato,X428665Y718492,6.499733,2.354828,False,1,1,6.497327,2.365231,1180.0,0.0,low,severe,1,EPP Houeke Honou
Fignon-Sikê,COTONOU,7ème Arrondissement,X435833Y704596,6.374118,2.4198,False,0,0,,,,,none,no_data,0,
Vodjè-Centre,COTONOU,11ème Arrondissement,X433991Y703993,6.368644,2.403151,False,1,1,6.372023,2.400962,447.0,0.0,low,suspicious,1,PASE ???? VODJE FINAGNON
