A,B,edges,total_length_m,A_share_m,B_share_m
Ayélawadjè,Sègbèya-Sud,2,452.2,226.1,226.1
Aïdjèdo,Aïdjèdo-Ahito,3,441.2,220.6,220.6
Ahogbohoué-Cité-Eucharistie,Kouhounou,6,423.3,211.7,211.7
Avlékété-Joncquet,Guinkômey,3,420.1,210.0,210.0
Cadjèhoun-Azalokogon,Cadjèhoun-Gare,3,419.7,209.9,209.9
Adjégounlè,Midombo,4,416.1,208.0,208.0
Djédjé-Layé,Kpondéhou,2,414.5,207.2,207.2
Kindonou,Mènontin,6,406.9,203.4,203.4
Houéhoun,Minonkpô-Wologuèdè,3,404.2,202.1,202.1
Gbégamey-Centre,Gbégamey-Dodo-Ayidjè,4,397.3,198.7,198.7
Gbèdégbé,Houéyihô,3,391.7,195.8,195.8
Adjagbo,Zèkanmey-Domè,7,387.4,193.7,193.7
Dokomè,Kpodji-Les-Monts,2,379.3,189.7,189.7
Mènontin,Zogbohouè,3,379.0,189.5,189.5
Aïdjèdo,Gbèdjromèdè,3,378.0,189.0,189.0
Ayélawadjè,Misséssin,5,377.5,188.8,188.8
"Dèkoungbé
","Dénou
",4,372.7,186.3,186.3
Nvènamèdé,Yagbé,3,371.2,185.6,185.6
Fignon-Sikê,Sèdami,3,368.5,184.3,184.3
Tanto,Yagbé,4,368.5,184.2,184.2
Avotrou-Aïmonlonfidé,Avotrou-Gbègo,4,356.5,178.2,178.2
Ahouassa,Sènadé,4,356.4,178.2,178.2
Jéricho-Nord,Jéricho-Sud,3,348.0,174.0,174.0
"Tokpa
","Womey-Centre
",1,338.6,169.3,169.3
Saint-Jean-Gbèdiga,Yévèdo,1,338.0,169.0,169.0
Agontinkon,Vodjè-Finagnon,4,336.6,168.3,168.3
Vodjè-Allobatin,Vodjè-Centre,1,335.7,167.8,167.8
Houéyihô,Houéyihô-Tannou,4,335.0,167.5,167.5
Sèdami,Yévèdo,2,328.6,164.3,164.3
Cocotomey,"Zounga
",5,325.2,162.6,162.6
"Gbodjè-Womey
","Zounga
",1,324.4,162.2,162.2
Gbéto,Mifongou,3,323.6,161.8,161.8
Vodjè-Ayidoté,Vodjè-Centre,3,321.9,160.9,160.9
Agla-Centre,Agla-Les-Pylônes,4,318.1,159.0,159.0
Tankpè-Tanmè,Tankpê-Yoho,5,317.4,158.7,158.7
Sènadé,Sènadé-Sèkon,3,313.4,156.7,156.7
Hlacômey,Sègbèya-Nord,2,312.8,156.4,156.4
Gbégamey-Gbagoudo,Vodjè-Ayidoté,3,307.8,153.9,153.9
Fifatin,Misséssin,1,306.9,153.5,153.5
Kpankpan,Misséssin,3,306.9,153.5,153.5
Aïbatin-Dodo,Fidjrossè-Centre,4,301.9,151.0,151.0
Akassato,Houèkè-Gbo,7,290.3,145.2,145.2
Sègbèya-Nord,Sègbèya-Sud,2,287.9,143.9,143.9
Akpakpa-Dodomè,Énagnon,4,282.9,141.5,141.5
