nid,lat,lng,n_quartiers,name_a,dist_a_m,name_b,dist_b_m,others,asymmetry,road_context,primary_highway,n_road_edges,in_roundabout,has_bridge,has_dual_connector_edge,dist_to_water_m,classification
5150,6.365468,2.428932,2,Gbédokpo,210.9,Sèdjro-Saint-Michel,262.9,,0.198,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
4564,6.377923,2.423733,2,Aïdjèdo,254.1,Aïdjèdo-Ahito,267.2,,0.049,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
5836,6.361803,2.444313,2,Akpakpa-Dodomè,104.2,Ohé,286.9,,0.637,intersection,secondary,3,False,False,False,352.5,SUSPICIOUS_OVERREACH
2136,6.362717,2.41117,2,Gbégamey-Centre,111.3,Gbégamey-Mifongou,293.2,,0.62,road_segment,residential,2,False,False,True,,SUSPICIOUS_OVERREACH
3475,6.392423,2.348122,2,Hlouacomey,97.6,Yolomahouto,271.3,,0.64,intersection,residential,3,False,False,False,,SUSPICIOUS_OVERREACH
67149,6.403038,2.338904,2,"Djoukpa-Togoudo
",100.1,Godomey-Togoudo,296.1,,0.662,road_segment,secondary,2,False,False,False,,SUSPICIOUS_OVERREACH
26327,6.365345,2.44774,2,Abokicodji-Centre,146.4,Ohé,240.9,,0.392,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
4505,6.376361,2.408381,2,Agontinkon,143.1,Agbondjèdo,194.7,,0.265,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
4552,6.377775,2.409206,2,Agontinkon,245.4,Houéhoun,269.2,,0.088,road_segment,residential,2,False,False,False,,PLAUSIBLE_FRONTIER
522,6.364352,2.4094,2,Gbégamey-Ahito,150.0,Gbégamey-Centre,297.5,,0.496,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
648,6.354322,2.439565,2,Xwlacôdji-Kpodji,245.5,Xwlacôdji-Plage,292.7,,0.161,intersection,residential,5,False,False,False,,PLAUSIBLE_FRONTIER
659,6.355145,2.437564,2,Xwlacôdji-Kpodji,171.1,Guinkômey,230.4,,0.258,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
43914,6.358036,2.438548,2,Tokpa-Hoho,106.1,Guinkômey,155.5,,0.318,road_segment,residential,2,False,False,True,411.5,PLAUSIBLE_FRONTIER
11879,6.369471,2.448822,2,Sodjatinmè-Ouest,128.0,Gbèdjèwin,155.4,,0.176,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
2177,6.362515,2.411416,2,Gbégamey-Centre,93.5,Gbégamey-Mifongou,272.3,,0.657,road_segment,residential,2,False,False,True,,SUSPICIOUS_OVERREACH
2176,6.362421,2.411312,2,Gbégamey-Centre,109.0,Gbégamey-Mifongou,256.7,,0.576,road_segment,residential,2,False,False,True,,SUSPICIOUS_OVERREACH
14231,6.374194,2.468132,2,Yagbé,149.1,Avotrou-Gbègo,295.8,,0.496,intersection,residential,5,False,False,False,,PLAUSIBLE_FRONTIER
13770,6.560571,2.298775,2,Golo-Djigbé,153.2,"Adjamè
",278.1,,0.449,road_segment,trunk,2,False,False,False,,PLAUSIBLE_FRONTIER
4916,6.378112,2.432862,2,Hindé-Nord,97.7,Djidjè,297.6,,0.672,road_segment,residential,2,False,False,False,,SUSPICIOUS_OVERREACH
11927,6.365973,2.442138,2,Abokicodji-Lagune,161.9,Dédokpo,177.4,,0.088,intersection,secondary,3,False,False,False,342.3,PLAUSIBLE_FRONTIER
33430,6.381545,2.464172,2,Kowégbo,246.3,Suru-Léré,280.5,,0.122,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
4657,6.376105,2.43283,2,Hindé-Sud,163.7,Hindé-Nord,184.3,,0.112,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
12037,6.364459,2.44562,2,Ohé,151.7,Abokicodji-Centre,258.6,,0.413,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
26669,6.355868,2.437364,2,Guinkômey,152.3,Xwlacôdji-Kpodji,249.2,,0.389,intersection,tertiary,3,False,False,False,657.7,PLAUSIBLE_FRONTIER
83793,6.379306,2.432565,2,Djidjè,125.2,Hindé-Nord,270.0,,0.536,road_segment,residential,2,False,False,False,,SUSPICIOUS_OVERREACH
65863,6.365221,2.423022,2,Gbènan,174.8,Gbèdomidji,234.8,,0.256,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
576,6.356858,2.438096,2,Guinkômey,168.5,Tokpa-Hoho,213.4,,0.21,bridge,primary,7,False,True,False,527.9,ROAD_GRAPH_ARTIFACT
1277,6.365708,2.420914,2,Yévèdo,167.4,Gbèdomidji,271.2,,0.383,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
3452,6.392254,2.347011,2,Hlouacomey,136.7,Yolomahouto,173.4,,0.212,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
24522,6.392794,2.34695,3,Hlouacomey,104.3,Yolomahouto,229.9,"Nonhouénou
",0.546,road_segment,residential,2,False,False,False,,MULTI_QUARTIER
11929,6.362927,2.44733,2,Ohé,101.4,Akpakpa-Dodomè,295.4,,0.657,road_segment,unclassified,2,False,False,False,,SUSPICIOUS_OVERREACH
1273,6.368085,2.419028,2,Sèhogan-Sikê,167.1,Yévèdo,169.2,,0.012,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
4514,6.373714,2.408768,2,Agbondjèdo,130.8,Gbégamey-Gbagoudo,272.3,,0.52,intersection,residential,4,False,False,False,,SUSPICIOUS_OVERREACH
