lat,lng,offender,off_arr,off_dist_m,off_snap_m,off_snap_edges,off_comp_size,off_path_len,off_used_dual,off_used_roundabout,victim,vic_arr,vic_dist_m,vic_snap_m,vic_snap_edges,vic_comp_size,vic_near_ways,vic_dist_water_m,asymmetry,causes
6.367599,2.404236,Vodjè-Centre,11ème Arrondissement,162.6,1.2,2,90099,5,False,False,Cadjèhoun-Détinsa,12ème Arrondissement,51.0,4.4,5,90099,31,,0.686,unattributed
6.368614,2.402779,Cadjèhoun-Détinsa,12ème Arrondissement,242.4,4.4,5,90099,11,True,False,Vodjè-Centre,11ème Arrondissement,47.2,1.2,2,90099,28,,0.805,stronger_road_density|graph_artifact_low_edges|dual_carriageway_shortcut
6.376906,2.427371,Jéricho-Nord,6ème Arrondissement,248.4,12.7,5,90099,4,False,False,Aïdjèdo-Vignon,6ème Arrondissement,105.2,11.5,6,90099,32,,0.577,unattributed
6.362689,2.446639,Akpakpa-Dodomè,4ème Arrondissement,230.7,10.4,2,90099,4,True,False,Ohé,4ème Arrondissement,36.7,21.0,3,90099,48,639.8,0.841,dual_carriageway_shortcut
6.362242,2.445887,Akpakpa-Dodomè,4ème Arrondissement,190.9,10.4,2,90099,2,True,False,Ohé,4ème Arrondissement,50.8,21.0,3,90099,48,639.8,0.734,dual_carriageway_shortcut
6.370852,2.417656,Sèhogan-Sikê,7ème Arrondissement,237.9,7.5,4,90099,7,True,False,Énagnon-Sikê,7ème Arrondissement,114.1,10.0,3,90099,27,,0.52,dual_carriageway_shortcut
6.37044,2.41716,Sèhogan-Sikê,7ème Arrondissement,166.4,7.5,4,90099,4,False,False,Énagnon-Sikê,7ème Arrondissement,74.1,10.0,3,90099,27,,0.555,unattributed
6.37141,2.416396,Sèhogan-Sikê,7ème Arrondissement,285.5,7.5,4,90099,6,False,False,Énagnon-Sikê,7ème Arrondissement,88.6,10.0,3,90099,27,,0.69,unattributed
6.370747,2.417549,Sèhogan-Sikê,7ème Arrondissement,221.2,7.5,4,90099,6,False,False,Énagnon-Sikê,7ème Arrondissement,97.4,10.0,3,90099,27,,0.56,unattributed
6.362489,2.431316,Gbédokpo,5ème Arrondissement,212.4,17.2,3,90099,3,False,False,Missité,5ème Arrondissement,92.6,5.7,4,90099,26,907.5,0.564,unattributed
6.386129,2.440519,Hlacômey,3ème Arrondissement,278.4,5.2,4,90099,5,False,False,Adôgléta,3ème Arrondissement,39.3,11.0,4,90099,37,464.8,0.859,unattributed
6.372035,2.44153,Misséssin,4ème Arrondissement,284.3,24.5,4,90099,5,False,False,Gbénonkpô,3ème Arrondissement,107.2,11.2,7,90099,27,570.5,0.623,unattributed
6.368434,2.403535,Cadjèhoun-Détinsa,12ème Arrondissement,172.4,4.4,5,90099,6,True,False,Vodjè-Centre,11ème Arrondissement,41.2,1.2,2,90099,28,,0.761,stronger_road_density|graph_artifact_low_edges|dual_carriageway_shortcut
6.361448,2.444606,Ohé,4ème Arrondissement,243.5,21.0,3,90099,4,False,False,Akpakpa-Dodomè,4ème Arrondissement,53.1,10.4,2,90099,37,337.1,0.782,graph_artifact_low_edges
6.369689,2.417755,Énagnon-Sikê,7ème Arrondissement,180.4,10.0,3,90099,4,False,False,Sèhogan-Sikê,7ème Arrondissement,60.0,7.5,4,90099,26,,0.667,unattributed
6.36833,2.403699,Cadjèhoun-Détinsa,12ème Arrondissement,151.8,4.4,5,90099,4,False,False,Vodjè-Centre,11ème Arrondissement,61.8,1.2,2,90099,28,,0.592,stronger_road_density|graph_artifact_low_edges
6.369235,2.40298,Cadjèhoun-Détinsa,12ème Arrondissement,280.2,4.4,5,90099,12,True,False,Vodjè-Centre,11ème Arrondissement,72.1,1.2,2,90099,28,,0.743,stronger_road_density|graph_artifact_low_edges|dual_carriageway_shortcut
6.392636,2.451187,Gankpodo,2ème Arrondissement,276.5,16.7,4,90099,5,False,False,Minontchou,2ème Arrondissement,100.2,6.1,3,90099,32,1590.0,0.638,unattributed
6.392711,2.348321,Yolomahouto,Godomey,295.3,5.3,4,90099,10,False,False,Hlouacomey,Godomey,73.7,6.1,5,90099,51,659.3,0.751,unattributed
6.357245,2.43626,Tokpa-Hoho,5ème Arrondissement,276.4,9.5,5,90099,10,True,False,Guinkômey,5ème Arrondissement,78.8,33.0,3,90099,76,749.7,0.715,dual_carriageway_shortcut|centroid_badly_positioned
6.356586,2.436777,Tokpa-Hoho,5ème Arrondissement,247.1,9.5,5,90099,10,True,False,Guinkômey,5ème Arrondissement,49.5,33.0,3,90099,76,749.7,0.8,dual_carriageway_shortcut|centroid_badly_positioned
6.403936,2.341326,Godomey-Togoudo,Godomey,261.0,4.6,3,90099,7,True,False,Sèdomey,Godomey,70.3,9.1,4,90099,41,720.7,0.73,dual_carriageway_shortcut
6.367145,2.391666,Houéyihô,11ème Arrondissement,297.2,2.0,4,90099,12,True,False,Houénoussou,13ème Arrondissement,56.2,5.3,6,90099,36,,0.811,dual_carriageway_shortcut
6.362766,2.446959,Akpakpa-Dodomè,4ème Arrondissement,251.5,10.4,2,90099,6,True,False,Ohé,4ème Arrondissement,57.5,21.0,3,90099,48,639.8,0.771,dual_carriageway_shortcut
6.362614,2.446851,Akpakpa-Dodomè,4ème Arrondissement,249.6,10.4,2,90099,5,True,False,Ohé,4ème Arrondissement,55.7,21.0,3,90099,48,639.8,0.777,dual_carriageway_shortcut
6.362311,2.44677,Akpakpa-Dodomè,4ème Arrondissement,250.4,10.4,2,90099,5,True,False,Ohé,4ème Arrondissement,56.4,21.0,3,90099,48,639.8,0.775,dual_carriageway_shortcut
6.358339,2.438597,Guinkômey,5ème Arrondissement,189.7,33.0,3,90099,7,True,False,Tokpa-Hoho,5ème Arrondissement,91.5,9.5,5,90099,45,269.4,0.518,dual_carriageway_shortcut|centroid_badly_positioned
