quartier,commune,confidence,area_m2,perimeter_m,road_length_m,n_road_vertices,compactness,n_neighbours,low_confidence_reasons
Djigbo,ABOMEY-CALAVI,HIGH,436178.6,9801.6,8692.9,324,0.057,0,
Hindé-Nord,COTONOU,HIGH,115797.8,1892.2,1594.8,36,0.406,0,
Todoté,COTONOU,HIGH,152155.7,3092.9,2539.7,76,0.2,0,
Adovié,ABOMEY-CALAVI,LOW,3002889.1,35660.2,45897.0,2646,0.03,0,sliver shape (compactness 0.030)
Adjégounlè,COTONOU,HIGH,122412.7,2760.5,1610.0,40,0.202,1,
Tokan,ABOMEY-CALAVI,HIGH,1514112.2,17664.1,20830.9,894,0.061,0,
Gbèdagba,COTONOU,HIGH,90677.9,1977.7,1025.4,28,0.291,0,
Vodjè-Allobatin,COTONOU,HIGH,57276.2,1441.6,663.3,22,0.346,0,
"Houégoudo
",ABOMEY-CALAVI,HIGH,366592.5,8413.5,5671.2,336,0.065,0,
Abokicodji-Centre,COTONOU,HIGH,108224.3,1911.5,1463.4,38,0.372,0,
"Womey-Centre
",ABOMEY-CALAVI,HIGH,1544865.4,9782.2,25189.5,1286,0.203,0,
"Finafa
",ABOMEY-CALAVI,HIGH,1097155.3,8886.1,16833.2,640,0.175,0,
Salamey,ABOMEY-CALAVI,HIGH,357753.7,4997.3,5752.6,246,0.18,1,
Kpotomey,ABOMEY-CALAVI,LOW,672605.2,15001.6,8664.2,474,0.038,0,sliver shape (compactness 0.038)
Agounvocôdji,COTONOU,HIGH,402955.0,4687.9,6972.5,244,0.23,0,
Cadjèhoun-Détinsa,COTONOU,HIGH,119666.0,1816.0,1967.9,62,0.456,0,
Vodjè-Centre,COTONOU,HIGH,89989.2,1502.5,1288.0,44,0.501,0,
Hêvié,ABOMEY-CALAVI,LOW,3416526.2,55418.9,43701.7,2390,0.014,0,sliver shape (compactness 0.014)
Aïdjèdo-Vignon,COTONOU,HIGH,94870.1,2011.1,1280.8,34,0.295,0,
Yèvié-Nougo,ABOMEY-CALAVI,HIGH,525009.7,10529.2,6503.3,326,0.06,0,
Glo-Tokpa,ABOMEY-CALAVI,LOW,1386223.8,23285.7,18766.6,806,0.032,0,sliver shape (compactness 0.032)
Gbènan,COTONOU,HIGH,121807.1,2060.1,1934.5,48,0.361,0,
Gbèdjromèdè-Nord,COTONOU,HIGH,373050.1,3926.0,8122.6,156,0.304,0,
Énagnon-Sikê,COTONOU,HIGH,127880.2,2315.4,2024.4,52,0.3,0,
Zinvié-Zounmè,ABOMEY-CALAVI,LOW,829290.1,16970.8,11711.8,644,0.036,0,sliver shape (compactness 0.036)
Hindé-Sud,COTONOU,HIGH,91370.2,1840.4,1148.9,36,0.339,0,
Kouhounou,COTONOU,HIGH,389518.8,4596.0,8799.6,336,0.232,0,
Dantôkpa,COTONOU,HIGH,107211.9,2549.0,1964.9,90,0.207,0,
Gbégamey-Centre,COTONOU,HIGH,136970.8,2656.0,1718.5,44,0.244,0,
"Sèdjannako
",ABOMEY-CALAVI,HIGH,313481.7,4676.9,5053.8,226,0.18,0,
Cadjèhoun-Azalokogon,COTONOU,HIGH,209779.0,2576.9,3498.0,126,0.397,0,
Agla-Agongbomey,COTONOU,HIGH,64414.4,2158.6,11356.7,414,0.174,0,
Ahossougbéta,ABOMEY-CALAVI,LOW,1749865.6,21029.8,26985.7,1034,0.05,0,sliver shape (compactness 0.050)
Golo-Djigbé,ABOMEY-CALAVI,LOW,652508.9,14928.4,18759.1,946,0.037,0,sliver shape (compactness 0.037)
Wawata,ABOMEY-CALAVI,HIGH,144890.0,3609.6,5452.2,366,0.14,0,
Adôgléta,COTONOU,HIGH,320055.0,3606.2,5294.9,134,0.309,0,
Haie-Vive-Cocotiers,COTONOU,HIGH,1189907.7,16066.4,24755.9,898,0.058,0,
Houéyihô,COTONOU,HIGH,101496.0,1482.8,1628.0,70,0.58,0,
Zèkanmey,ABOMEY-CALAVI,LOW,634281.7,14223.5,6819.4,348,0.039,0,sliver shape (compactness 0.039)
Tokplégbé,COTONOU,HIGH,119301.1,2265.5,13171.5,294,0.292,0,
Yagbé,COTONOU,HIGH,323170.2,4094.2,4702.3,130,0.242,1,
Agonkèssa,ABOMEY-CALAVI,LOW,800570.2,16077.6,9744.8,524,0.039,0,sliver shape (compactness 0.039)
Logbozounkpa,ABOMEY-CALAVI,HIGH,593256.0,6345.9,10441.1,344,0.185,0,
Houéyihô-Tannou,COTONOU,HIGH,466820.5,4268.5,8979.9,374,0.322,0,
Gbénonkpô,COTONOU,HIGH,228640.7,2362.6,3817.0,82,0.515,0,
"Djoukpa-Togoudo
",ABOMEY-CALAVI,HIGH,404784.5,4833.5,6042.7,252,0.218,0,
Atrokpo-Codji,ABOMEY-CALAVI,HIGH,1159266.4,8959.7,22913.5,730,0.181,0,
Kpossidja,ABOMEY-CALAVI,LOW,3130728.2,63471.8,38268.2,1708,0.01,0,sliver shape (compactness 0.010)
Agla-Centre,COTONOU,HIGH,373315.7,4136.3,7141.1,222,0.274,1,
"Tokpa
",ABOMEY-CALAVI,HIGH,866596.2,8768.1,15212.0,548,0.142,0,
"Aïtchédji
",ABOMEY-CALAVI,HIGH,1591199.7,13598.3,25557.0,822,0.108,0,
Tokpa-Hoho,COTONOU,HIGH,152370.1,3352.9,1882.6,62,0.17,0,
Bozoun,ABOMEY-CALAVI,HIGH,76224.2,1900.5,3734.8,66,0.265,0,
Cadjèhoun-Aupiais,COTONOU,HIGH,175009.4,3777.9,3007.2,92,0.154,0,
Gbodjo,ABOMEY-CALAVI,HIGH,823327.5,9727.2,11395.7,424,0.109,0,
Togba_Maria-Gléta,ABOMEY-CALAVI,LOW,1348761.0,24729.1,16843.9,662,0.028,0,sliver shape (compactness 0.028)
"Agonkanmey
",ABOMEY-CALAVI,HIGH,690927.9,9633.3,10027.8,408,0.094,0,
Yêkon-Aga,ABOMEY-CALAVI,HIGH,454821.8,8678.4,6452.9,348,0.076,0,
Gbèdjèwin,COTONOU,HIGH,131814.2,2500.5,1855.8,42,0.265,0,
"Assrossa
",ABOMEY-CALAVI,HIGH,850493.7,6498.3,13190.1,500,0.253,0,
Djidjè,COTONOU,HIGH,162660.2,3323.1,2028.0,48,0.185,0,
"Adjamè
",ABOMEY-CALAVI,LOW,1182845.0,25117.9,15535.7,502,0.024,0,sliver shape (compactness 0.024)
