quartier,commune,confidence,area_m2,perimeter_m,road_length_m,n_road_vertices,compactness,n_neighbours,low_confidence_reasons
Dota,COTONOU,HIGH,69985.4,1809.4,977.7,24,0.269,0,
Sodjatinmè-Centre,COTONOU,HIGH,283799.3,3411.1,4629.4,150,0.307,1,
Gbéto,COTONOU,HIGH,136363.8,2290.4,1728.0,42,0.327,0,
Kpondéhou-Tchèmè,COTONOU,HIGH,98075.1,1844.6,1184.9,28,0.362,1,
Avotrou-Gbègo,COTONOU,HIGH,326751.8,4465.9,4287.6,80,0.206,1,
Gbèdomidji,COTONOU,HIGH,39807.5,1067.5,418.4,14,0.439,0,
Suru-Léré,COTONOU,HIGH,180870.5,3329.3,2520.9,62,0.205,0,
Zongo-Ehuzu,COTONOU,HIGH,568951.1,11356.0,8292.8,240,0.055,0,
Sodjatinmè-Est,COTONOU,HIGH,178794.8,3028.3,3216.3,96,0.245,0,
"Ningboto
",ABOMEY-CALAVI,HIGH,501740.6,4706.3,8091.1,218,0.285,0,
Kpanroun,ABOMEY-CALAVI,LOW,786493.4,17975.9,10181.8,282,0.031,0,sliver shape (compactness 0.031)
Nvènamèdé,COTONOU,HIGH,279495.5,3912.6,4617.4,150,0.229,0,
Sodjatinmè-Ouest,COTONOU,HIGH,50850.0,1278.9,542.2,12,0.391,0,
Ahouansori-Towéta,COTONOU,HIGH,115181.4,1715.1,1504.0,64,0.492,0,
Ayélawadjè-Agongbomè,COTONOU,HIGH,222537.1,3393.4,3321.7,84,0.243,0,
Dokomè,ABOMEY-CALAVI,LOW,1344215.9,25330.1,16532.2,826,0.026,0,sliver shape (compactness 0.026)
Yévèdo,COTONOU,HIGH,85783.9,1643.2,971.9,16,0.399,0,
Houèkè-Honou,ABOMEY-CALAVI,HIGH,2158154.0,20713.4,29300.7,758,0.063,1,
Zogbo,COTONOU,HIGH,454993.2,6248.1,6711.1,222,0.146,0,
Ahogbohoué-Cité-De-l'Expérience,COTONOU,HIGH,171393.7,2511.4,2342.5,62,0.341,0,
