qa,qb,name_a,arr_a,name_b,arr_b,n_collisions,shape,extent_m,az_deg,centroid_lat,centroid_lng,median_d_a_m,median_d_b_m,asymmetry_median,highway_types,density_per_100m
147,227,Gbégamey-Ahito,11ème Arrondissement,Gbégamey-Centre,11ème Arrondissement,1,point,0.0,,6.364059,2.410032,227.0,220.5,0.029,residential|secondary,
147,227,Gbégamey-Ahito,11ème Arrondissement,Gbégamey-Centre,11ème Arrondissement,1,point,0.0,,6.364961,2.410197,261.1,288.8,0.096,residential|unclassified,
63,130,Xwlacôdji-Kpodji,5ème Arrondissement,Xwlacôdji-Plage,5ème Arrondissement,2,intersection,43.9,-146.5,6.354487,2.439674,262.1,276.1,0.051,residential|service,4.55
63,257,Xwlacôdji-Kpodji,5ème Arrondissement,Guinkômey,5ème Arrondissement,8,intersection,130.4,-135.6,6.355463,2.437378,228.6,215.6,0.057,primary|residential|service|tertiary,6.13
63,257,Xwlacôdji-Kpodji,5ème Arrondissement,Guinkômey,5ème Arrondissement,2,linear_corridor,58.4,57.5,6.35644,2.4387,277.8,236.7,0.148,primary|secondary|tertiary,3.43
63,257,Xwlacôdji-Kpodji,5ème Arrondissement,Guinkômey,5ème Arrondissement,1,point,0.0,,6.355361,2.43843,296.6,255.4,0.139,residential,
184,308,"Adjamè
",Golo-Djigbé,Golo-Djigbé,Golo-Djigbé,3,linear_corridor,107.5,135.3,6.560909,2.298441,227.7,203.6,0.106,trunk,2.79
2,265,Kowégbo,2ème Arrondissement,Suru-Léré,1er Arrondissement,1,point,0.0,,6.381545,2.464172,246.3,280.5,0.122,residential,
2,265,Kowégbo,2ème Arrondissement,Suru-Léré,1er Arrondissement,1,point,0.0,,6.382254,2.463521,245.4,285.6,0.141,residential|tertiary,
2,265,Kowégbo,2ème Arrondissement,Suru-Léré,1er Arrondissement,2,linear_corridor,55.3,-173.9,6.37988,2.465824,264.9,271.0,0.023,residential|tertiary,3.62
